date,time,open,high,low,close,vwap,volume,count
2021-09-24 06:35:00,1632465300,461.65,461.65,461.65,461.65,461.65,0.24430744,8
2021-09-24 06:36:00,1632465360,461.65,461.79,461.65,461.79,461.71,0.06107687,2
2021-09-24 06:37:00,1632465420,461.79,461.79,461.79,461.79,0.0,0.0,0
2021-09-24 06:38:00,1632465480,461.26,461.41,461.26,461.41,461.36,0.19003646,2
2021-09-24 06:39:00,1632465540,461.24,461.24,461.24,461.24,461.24,0.22823682,1
2021-09-24 06:40:00,1632465600,460.93,460.93,460.81,460.81,460.85,2.98560317,3
2021-09-24 06:41:00,1632465660,460.83,460.83,460.83,460.83,460.83,0.23865974,1
2021-09-24 06:42:00,1632465720,460.03,461.62,460.03,461.62,460.83,432.43243243,38
2021-09-24 06:43:00,1632465780,459.8,459.8,459.8,459.8,459.8,0.3632401,1
2021-09-24 06:44:00,1632465840,459.8,459.8,459.8,459.8,0.0,0.0,0
2021-09-24 06:45:00,1632465900,459.8,459.8,459.8,459.8,0.0,0.0,0
2021-09-24 06:46:00,1632465960,459.78,459.78,458.99,459.1,459.11,6.86466776,4
2021-09-24 06:47:00,1632466020,459.1,459.1,459.1,459.1,0.0,0.0,0
2021-09-24 06:48:00,1632466080,459.1,459.1,459.1,459.1,0.0,0.0,0
2021-09-24 06:49:00,1632466140,459.1,459.1,459.1,459.1,0.0,0.0,0
2021-09-24 06:50:00,1632466200,459.3,459.3,459.3,459.3,0.0,0.0,0
2021-09-24 06:51:00,1632466260,460.53,460.53,460.53,460.53,460.53,1.00432389,1
2021-09-24 06:52:00,1632466320,460.53,460.53,460.53,460.53,0.0,0.0,0
2021-09-24 06:53:00,1632466380,460.53,460.53,460.53,460.53,0.0,0.0,0
2021-09-24 06:54:00,1632466440,460.53,460.53,460.53,460.53,0.0,0.0,0
2021-09-24 06:55:00,1632466500,460.53,460.53,460.53,460.53,0.0,0.0,0
2021-09-24 06:56:00,1632466560,458.67,458.67,458.67,458.67,458.67,1.08196283,1
2021-09-24 06:57:00,1632466620,458.26,458.26,458.26,458.26,458.26,0.19474057,1
2021-09-24 06:58:00,1632466680,458.15,458.15,458.15,458.15,458.15,0.06498577,1
2021-09-24 06:59:00,1632466740,458.15,458.15,458.15,458.15,0.0,0.0,0
2021-09-24 07:00:00,1632466800,458.0,458.01,458.0,458.01,458.0,2.57876963,3
2021-09-24 07:01:00,1632466860,458.01,458.94,458.01,458.94,458.01,30.03086229,2
2021-09-24 07:02:00,1632466920,459.02,459.02,459.02,459.02,459.02,0.07197689999999997,1
2021-09-24 07:03:00,1632466980,459.02,459.02,459.02,459.02,0.0,0.0,0
2021-09-24 07:04:00,1632467040,459.02,459.02,459.02,459.02,459.02,32.428023100000004,1
2021-09-24 07:05:00,1632467100,460.2,460.2,459.28,459.28,459.88,0.12517108,2
2021-09-24 07:06:00,1632467160,459.09,459.09,459.09,459.09,459.09,0.21631239,1
2021-09-24 07:07:00,1632467220,460.68,462.95,460.68,462.95,462.19,84.28280891,20
2021-09-24 07:08:00,1632467280,463.38,464.11,463.18,464.11,463.36,9.40038379,4
2021-09-24 07:09:00,1632467340,463.78,463.95,463.44,463.44,463.86,2.42696223,4
2021-09-24 07:10:00,1632467400,462.29,462.29,461.93,461.93,462.05,3.1693765,5
2021-09-24 07:11:00,1632467460,461.93,461.93,461.93,461.93,0.0,0.0,0
2021-09-24 07:12:00,1632467520,462.84,462.84,462.84,462.84,462.84,0.49465496,1
2021-09-24 07:13:00,1632467580,462.84,462.84,462.84,462.84,0.0,0.0,0
2021-09-24 07:14:00,1632467640,463.95,463.95,463.95,463.95,463.95,0.22474693,1
2021-09-24 07:15:00,1632467700,464.69,464.69,464.69,464.69,464.69,0.38857198,1
2021-09-24 07:16:00,1632467760,464.69,464.69,464.69,464.69,0.0,0.0,0
2021-09-24 07:17:00,1632467820,464.69,464.69,464.69,464.69,0.0,0.0,0
2021-09-24 07:18:00,1632467880,464.69,464.69,464.69,464.69,0.0,0.0,0
2021-09-24 07:19:00,1632467940,464.69,464.69,464.69,464.69,0.0,0.0,0
2021-09-24 07:20:00,1632468000,464.99,464.99,464.4,464.4,464.97,33.4758871,3
2021-09-24 07:21:00,1632468060,464.4,464.4,464.4,464.4,0.0,0.0,0
2021-09-24 07:22:00,1632468120,464.05,464.05,463.55,463.55,463.72,0.19932492,2
2021-09-24 07:23:00,1632468180,463.55,463.55,463.55,463.55,0.0,0.0,0
2021-09-24 07:24:00,1632468240,462.64,462.64,462.64,462.64,462.64,0.03217015,1
2021-09-24 07:25:00,1632468300,462.63,462.63,462.63,462.63,462.63,0.011339,1
2021-09-24 07:26:00,1632468360,462.33,462.33,461.63,461.63,462.18,28.47121682,3
2021-09-24 07:27:00,1632468420,461.63,461.63,461.63,461.63,0.0,0.0,0
